job_url;title;company;description;niveau_etudes;niveau_experience;contrat;region;competences;publication_date;via;titre_homogene;secteur;niveau_qualification
https://www.bayt.com/en/morocco/jobs/data-science-manager-72560907/;Data Science Manager;SwatX Solutions;"Job Description
SWATX is seeking a highly skilled and experienced Data Science Manager to lead our growing data science team. In this strategic role, you will be responsible for overseeing the development and implementation of data-driven solutions to solve complex business challenges. You will mentor and guide a team of data scientists, driving innovation and excellence in analytics and machine learning. If you are a strong leader with a passion for data science and a proven track record of delivering impactful solutions, we invite you to join us.

Responsibilities:

• Lead and mentor a team of data scientists, providing guidance on best practices in data analysis, machine learning, and statistical modeling.

• Develop and execute the data science strategy aligned with business objectives, ensuring that data-driven insights are integrated into decision-making processes.

• Oversee the design and implementation of innovative data science projects that drive value for the organization.

• Collaborate with cross-functional teams to identify opportunities for leveraging data to improve products, services, and operational efficiency.

• Build and maintain strong relationships with stakeholders, understanding their data needs and ensuring timely delivery of insights.

• Monitor and evaluate the performance of data science models and adjust strategies as necessary to achieve desired results.

• Promote a data-driven culture within the organization by communicating the value of data science initiatives to stakeholders at all levels.

• Stay updated on the latest trends and developments in data science and analytics, and integrate new methodologies and tools as appropriate.";;;;;;2025-03-21;Bayt;Responsable de la Science des Données;Informatique;4
https://www.bayt.com/en/morocco/jobs/data-engineer-system-care-manager-72591704/;Data Engineer & System Care Manager;Pfizer Inc;"Job Description
Use Your Power for Purpose

Our manufacturing logistics and supply team ensures that customers and patients receive the medicines they need precisely when they need them. By embracing challenges, imagining what’s possible, and taking decisive action, you will help accelerate the delivery of medicines to the world. Your role is crucial in making sure that the supply chain operates seamlessly, overcoming obstacles, and continuously innovating to meet the demands of healthcare. This dynamic environment requires a proactive approach, a visionary mindset, and a commitment to excellence, ensuring that life-saving treatments are always within reach for those who need them most.

What You Will Achieve

In this role, you will:

Lead IMEx System Care for the RSSC ( Regional Supply Service Center) T1 Operating Unit:

Own the system care program (owns calendar, trains PCT, tracks adherence, escalates issues) to ensure reliable operation and maintenance of the RSSC PCT systems.
Establish System Care routines and exception-based reporting to identify master data setup and attribute issues.
Train and coach the Process Centric Team to develop and execute System Care Activities
Manage the system master data issue handling process, including management of the issue backlog & collaboration with Regional Master Data team
Ensure the Process-Centric Team have the relevant information and support to identify and rectify any master data issues
Liaise with global & regional support teams as appropriate to ensure the most up-to-date tools and methods are available to the team
Contribute to CI process, attend T1 CI meetings as appropriate, owning some initiatives and actions
Support Process Centric Team on problem solving and root cause analysis related to system and data issues
Collaborates with CI specialist to best support Process-Centric Team on System Care activities and CI process
Lead digital CI projects and Support RSSC T1 process automation Journey in alignment with other regions.
Coordinate between RSSC planners, SIQ product owner and SIQ adoption team on SIQ system enhancements, critical bug fixes and improvement projects.
Drive Analytics and Digital efforts :

Lead RSSC EMEA’s Reporting and Analytics process for prioritization, development & maintenance of reporting dashboards & platforms.
Primary interface between RSSC planning teams and Digital Strategy team on key digital capabilities and priorities (Supply IQ, APO, IBP, nGPS..)
Embed and optimize system adoption in RSSC Planning teams.
Partner with Digital Strategy team for an aligned approach to improve analytics & digitize RSSC Processes through innovative digital solutions.
Lead cross-functional teams of regional, global & RSSC teams to identify further digitization opportunities in day-to-day planning environment.
Support Artificial Intelligence discovery and implementation in the hubs.
Key Qualifications

Degree in Engineering, Supply Chain or related field, with relevant experience required in Supply and logistics management systems, ideally in pharmaceutical industry or other highly regulated industries.
Strong experience in Planning and Analytics tools (such as SAP, BOBJ, Tableau)
Experience in development and maintenance of data pipelines using Python and SQL.
5+ years of relevant experience.
Previous experience in Dataiku is a nice to have.
Key capabilities

Ability to effectively manage projects – timelines, stakeholders and risks. Establish project goals, milestones, and procedures, define roles and responsibilities, acquire project resources, coordinate projects, monitor project progress, and manage multiple projects.
Ability to quickly grasp and understand complex situations involving many moving parts.
Strong analytical skills are required - ability to observe patterns and trends in data, determining root cause of issues and drawing proper conclusions from analysis.
Makes good decisions based on a mixture of analysis, experience and judgment. Recognize problems and respond, systematically gather information, sort through complex issues, seek input from others, address root cause of issues, make timely and/or difficult decisions, use consensus when possible, and communicate decisions to others.
Effective Coaching & Change Management Skills
Ability to manage, track and drive resolution of complex issues as well as improvement initiatives in parallel.
Ability to build strong professional relationships across geographies and at different levels of the organization including senior leadership.
Oral and written communication skills to present complex issues, providing adequate level of information required at different levels and for different stakeholders, including senior leadership.
Additional skills preferred

Understanding of pharmaceutical manufacturing operations and end to end global product flows.
Continuous improvement: experience working with Lean Capabilities, IMEx deployments, Continuous Improvement or Operation Excellence. Method 1 certified (or equivalent: Yellow Belt).
Good knowledge of Project Management tools.
Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.

Logistics & Supply Chain Mgmt#LI-PFE";;;;;;2025-03-29;Bayt;Ingénieur Données;Informatique;3
https://www.bayt.com/en/morocco/jobs/data-governance-lead-ref-005978-72557590/;Data Governance Lead Ref. 005978;Novancy Consulting;"Job Description
Responsibilities

Establishes the governance and quality standards for data management and ensures compliance across the organization 
Policy and Standards

Establish and maintain policies and standards and support federated teams to embrace their data roles
Check compliance against data governance policies and standards
Data Quality Management

Define quality standards and monitor data quality across the organization’s data domains
Track quality remediation efforts
Experience

7+ years of experience with data, ideally with previous governance or quality experience
5+ years in management/executive role";;;;;"Skills

Strong leadership experience in an enterprise or cross-functional role
Strong interpersonal and communication/persuasion skills
Strong project management leadership 
Experience in performance management metrics
Proven ability to coordinate cross functional teams of business, IT and other key stakeholders 
--

Entre engagement en tant que cabinet de staffing et de recrutement :

Novancy One, cabinet expert leader en recrutement et en staffing de talents dans les domaines des systèmes d'information et de la transformation digitale, s'engage fermement à promouvoir l'égalité et la diversité dans son processus de recrutement. Nous encourageons vivement les candidatures de profils variés, garantissant des opportunités équitables pour tous, quels que soient la race, la couleur, la religion, le genre, l'orientation sexuelle, l'origine nationale, le handicap, l'âge ou le statut d'ancien combattant. Si vous pensez que votre candidature n'a pas été prise en compte, faites-le nous savoir à l'adresse https://novancy.com/contactus. Découvrez nos offres d'emploi actuelles sur https://novancy.com/jobs/ ou soumettez votre CV pour des opportunités futures sur https://novancy.com/cv.
Our commitment as staffing agency:

Novancy One, a leading expert in staffing and recruitment for information systems and digital transformation, is deeply committed to promoting equality and diversity throughout our hiring process. We actively encourage applications from candidates of all backgrounds, ensuring fair and equal opportunities for everyone, irrespective of race, color, religion, gender, sexual orientation, national origin, disability, age, or veteran status. If you feel your application has been overlooked, we want to hear from you—reach out to us at https://novancy.com/contactus. Discover our latest job opportunities at https://novancy.com/jobs/ or submit your resume for future openings at https://novancy.com/cv.";2025-03-21;Bayt;Lead Gouvernance Données;Informatique;4
https://www.bayt.com/en/morocco/jobs/architecte-cloud-data-big-data-f-h-72660463/;Architecte Cloud DATA/BIG DATA (F/H);Orange Group;"Job Description
Regular - Architecte Cloud DATA/BIG DATA (F/H)
Architecte Cloud DATA/BIG DATA (F/H)


ref :ESOF146239 | 26 Mar 2025
apply before : 31 May 2025
Batiment B0, 2 éme Etage, Technopolis, 11100, Sale Al Jadida - Morocco
about the role


### Description de la Mission
En qualité d'Architecte Cloud DATA/BIG DATA, vous participez aux projets internationaux DATA/BIG Data (Cloud, Hybride, On premise). Votre expertise permettra d'analyser et de répondre aux besoins de nos clients avec une vision bout-en-bout, de la conception à l'implémentation des solutions.
### Responsabilités Principales
Analyse et Conception


- Analyser les besoins clients dans le cadre de migrations d'architectures DATA legacy ou de nouveaux Use Cases DATA
- Définir les architectures en intégrant les contraintes opérationnelles et organisationnelles (développement/Production, FINOPS, processus)
- Participer à la rédaction de guidelines et au développement de blueprints
Gestion de Projets


- Accompagner les projets DATA AI
- Suivre l'exécution des déploiements selon le planning établi
- Participer aux réunions projets et interagir avec les différents intervenants
- Collaborer avec les équipes internationales (France et étranger)
Innovation et Veille


- Assurer une veille technologique continue
- Être force de proposition sur les nouveaux outils et architectures
about you


Formation et Expérience


- Bac +5 en informatique
- Expérience significative en architecture Cloud et DATA/BIG DATA
Compétences Techniques


Expertise Cloud GCP


- Maîtrise complète de la plateforme GCP (APIs, CLI)
- Services infra/calcul/storage (GCE, GKE, Cloud Storage, Cloud SQL, App Engine)
- Gestion des ressources et IAM
- Solutions Serverless et PaaS
- Sécurité Cloud
Data & Big Data


- Conception de data lakes et entrepôts de données
- Modélisation des données (schéma star/snowflake)
- Outils de traitement (Spark, Spark Streaming, Hive, Databricks, Dataflow)
- Solutions de transfert de données (Informatica, Talend, Nifi, Kafka, Event Hub, Data Factory, Pub/Sub)
Infrastructure & DevOps


- Infrastructures Openstack, Kubernetes/Openshift, Starburst
- Infrastructure as Code (Terraform, Ansible, Helm)
- Processus CI/CD
- MLOPS et langages de scripts
Compétences Additionnelles


- Connaissance d'AWS ou d'AZURE (un plus)
- Expérience réussie en migration Cloud
Compétences Comportementales


- Excellence en communication (français/anglais)
- Capacité à travailler en équipe
- Force de proposition et innovation
- Méthodologie Agile
- Pédagogie et sens du service
department


Filiale du groupe Orange, Sofrecom est une entreprise de conseil et d'ingénierie spécialisé dans les télécommunications. Sofrecom conseille et accompagne le développement et la transformation numérique des principaux acteurs du secteur des télécommunications. Nous aidons nos clients à anticiper les ruptures technologiques, à adapter leurs activités, à transformer leurs organisations et à moderniser leurs réseaux et systèmes d'informations, pour obtenir une croissance profitable.
Sofrecom est surtout une entreprise riche de sa diversité avec plus de 2100 consultants et experts issus de plus de 30 nationalités et répartis à travers ses 9 implantations dans le monde. Travailler chez Sofrecom vous donne la possibilité de saisir des opportunités professionnelles passionnantes avec des parcours et des métiers variés, dans un environnement innovant et dynamique !
Chez Sofrecom, nous sommes convaincus que la diversité est un facteur de richesse et de performance. Nous veillons donc à ce que notre processus de recrutement garantisse l’égalité des chances et à ce que l’ensemble des candidats bénéficient d’une égalité de traitement.
Postulez dès maintenant et rejoignez un environnement où chacun trouve sa place !
Toute donnée à caractère personnel que vous partagez avec Sofrecom Services Maroc est traitée conformément aux dispositions de la loi n° 09-08, relative à la protection des données à caractère personnel. Afin d’exercer vos droits d’accès, de rectification ou d’oppositions, merci de contacter la DRH sur le 05 37 27 99 00.
Ensemble, nous contribuons au développement du numérique dans le monde !
contract


Regular
Only your skills matter


Regardless of your age, gender, origin, religion, sexual orientation, neuroatypia, disability or appearance, we encourage diversity within our teams because it is a strength for the collective and a vector of innovation. Orange Group is a disabled-friendly company: don't hesitate to tell us about your specific needs.
Similar offers


Sofrecom Maroc


Orange Group


91% of our employees are proud to work for Orange
87% recommend Orange as a good place to work
4,21/5 is the candidate experience in France, in the category of companies with over 1,000 employees
Since 2011, Orange has GEEIS (Gender Equality European & International Standard) certification in some twenty countries";;;;;;2025-03-27;Bayt;Architecte Cloud Data;Informatique;3
https://www.bayt.com/en/morocco/jobs/data-analytics-senior-data-analyst-casablanca-72414248/;Data Analytics - Senior Data Analyst - Casablanca;Infomineo;"Job Description
About us

Infomineo is a fast-growing business insights provider, bringing Brainshoring to global clients across a range of services: Business research, Content Services, Graphic Design, and Data Analytics. Our clients include leading Consultancies, Fortune 500 companies, Governments, and NGOs. Infomineo counts 350+ employees spread across 5 offices covering EMEA and the Americas (Casablanca, Cairo, Dubai, Barcelona and Mexico City). 

About this role

This role will give you the opportunity to deliver high added value data & analytics projects and build high quality and innovative solutions for our clients within a growing service company.

What will you do?

Assist businesses in the decision-making process for Data Driven projects using the following steps:

Contribute to the design of the technical solution chosen to collect, analyze data, and display the results obtained.
Propose solutions and strategies to tackle business challenges.
Present results in a clear manner
ACQUISITION & PREPARATION

Clean and prepare the data with the Data Scientists.
Collect and transform data from the various sources available in big data environments.
ANALYSIS

Provide data visualization to inform business decisions.
Analyze and interpret data to extract complex relationships and trends.
Optimize data exploration using Machine Learning techniques.
DEPLOYMENT

Adapt and integrate analytics models into the client's IS environment.
Assist the IT teams in all phases of the production, maintenance and updating of the models developed.";;;;;;;Bayt;Analyste Data Senior;Data;4
https://www.bayt.com/en/morocco/jobs/freelance-data-ai-governance-specialist-ref-005985-72583644/;Freelance Data & AI Governance Specialist Ref. 005985;Novancy Consulting;"Description: 

The Data & AI Governance Specialist ensures that AI and data initiatives are compliant with regulatory standards, ethical guidelines, and internal governance policies. They help clients establish robust governance frameworks to manage data privacy, security, and AI ethics, ensuring transparency and accountability in AI model development and deployment.

Mission: 3 months (renewable for the duration of the project).
Location: Rabat/Casablanca, Morocco.
Start Date: ASAP.
Language: Fluent English required (CVs must be submitted in English).
Work Mode: Hybrid (mix of on-site and remote work).
Key Responsibilities:

Define and implement AI governance frameworks, including data management, privacy, and security.
Ensure AI solutions comply with industry regulations (e.g., GDPR, HIPAA, CCPA).
Advise on best practices for ethical AI, addressing fairness, bias, and transparency.
Develop and enforce data governance policies across the organization.
Collaborate with data engineers, scientists, and legal teams to ensure compliance in AI implementations.
Continuously monitor evolving AI regulations and ethical standards.";;;;;"Skills Needed:

Experience in developing AI governance frameworks for organizations.
Data Governance: Strong knowledge of data management best practices, ensuring data quality, privacy, and security. Knowledge of data protection and security standards (e.g., encryption, access control).
AI Ethics & Compliance: Deep understanding of ethical issues in AI, such as bias, transparency, accountability, and fairness.
Regulatory Knowledge: Expertise in the legal and regulatory frameworks governing AI and data use (e.g., GDPR, CCPA).
Risk Management: Ability to identify and mitigate risks related to data misuse, model bias, and AI fairness.
Policy Development: Skills in creating internal policies to govern AI projects and data usage, ensuring compliance with external regulations and with ethical standards.
Training and Acculturation: Ability to train teams on data governance and AI best practices, ensuring broad compliance across the organization. Strong communication skills to educate teams and stakeholders on governance policies.
Audit & Monitoring: Experience with auditing AI models and data systems for compliance and ethical standards.
--

Entre engagement en tant que cabinet de staffing et de recrutement :

Novancy One, cabinet expert leader en recrutement et en staffing de talents dans les domaines des systèmes d'information et de la transformation digitale, s'engage fermement à promouvoir l'égalité et la diversité dans son processus de recrutement. Nous encourageons vivement les candidatures de profils variés, garantissant des opportunités équitables pour tous, quels que soient la race, la couleur, la religion, le genre, l'orientation sexuelle, l'origine nationale, le handicap, l'âge ou le statut d'ancien combattant. Si vous pensez que votre candidature n'a pas été prise en compte, faites-le nous savoir à l'adresse https://novancy.com/contactus. Découvrez nos offres d'emploi actuelles sur https://novancy.com/jobs/ ou soumettez votre CV pour des opportunités futures sur https://novancy.com/cv.
Our commitment as staffing agency:

Novancy One, a leading expert in staffing and recruitment for information systems and digital transformation, is deeply committed to promoting equality and diversity throughout our hiring process. We actively encourage applications from candidates of all backgrounds, ensuring fair and equal opportunities for everyone, irrespective of race, color, religion, gender, sexual orientation, national origin, disability, age, or veteran status. If you feel your application has been overlooked, we want to hear from you—reach out to us at https://novancy.com/contactus. Discover our latest job opportunities at https://novancy.com/jobs/ or submit your resume for future openings at https://novancy.com/cv.";2025-03-27;Bayt;Spécialiste Gouvernance Données et Intelligence Artificielle;Informatique;4
https://www.bayt.com/en/morocco/jobs/cdi-data-engineer-h-f-72572767/;CDI-Data Engineer H/F;Energy Pool;"Description du poste


Pour renforcer son équipe IT-BS et accélérer son développement, Energy Pool recrute en contrat à durée indéterminé (CDI) un(e) Data Engineer H/F.
Au sein d’une équipe composée de développeurs, DevOps et Proxy Product Owners, le Data Engineer, en tant que membre de l'équipe Data, est responsable de la conception, de la construction et de la maintenance de notre infrastructure de données. Il/elle collaborera étroitement avec des équipes interfonctionnelles pour assurer la fiabilité, l'évolutivité et l'efficacité des pipelines de data et des solutions analytiques.
Ainsi, vous serez amené(e) à exercer les missions suivantes :
Architecture des données :
- Concevoir, développer et mettre en œuvre des pipelines de data, des processus ETL et des flux de datas, principalement sur AWS, en utilisant des services tels que AWS Step Functions, AWS Athena, AWS Lambda, AWS Glue, AWS S3, etc.
- Construire et maintenir des structures de data évolutives pour soutenir divers besoins analytiques et de reporting,
- Construire des accès adaptés (API, interfaces web, etc.) en intégrant des politiques de sécurité pertinentes,
- Mettre en œuvre et appliquer les politiques de gouvernance des data et les meilleures pratiques pour assurer la qualité, l'intégrité et la sécurité des données.
Contrôle des données :
- Optimiser et ajuster l'infrastructure de data en termes de performance, de fiabilité et de rentabilité,
- Surveiller et dépanner les pipelines de data et les problèmes d'infrastructure, afin d'assurer une résolution rapide et un temps d'arrêt minimal
Gestion des connaissances :
- Se tenir au courant des technologies émergentes et des meilleures pratiques, et évaluer leur impact potentiel sur l'architecture et les processus de données,
- Construire et maintenir un catalogue de données exhaustif et précis,
- Collaborer avec des data scientists, des analystes et d'autres parties prenantes pour comprendre les exigences en matière de données et mettre en œuvre des solutions qui répondent aux besoins de l'entreprise,
- Documenter les conceptions techniques, les processus et les normes à des fins de partage des connaissances et de référence future.
Qualifications


Les indispensables :


Vous possédez une expérience de minimum 3 ans en tant que Data Engineer ou dans un rôle similaire, avec un accent sur les technologies AWS, Votre anglais est courant, à l’écrit comme à l’oral, Vous maîtrisez les concepts d'entreposage de données, les processus ETL et les techniques d'intégration de données, dans un environnement industrialisé avec des attentes élevées en matière de niveau de service, Vous avez une bonne connaissance des services AWS tels que AWS Step Functions, AWS Athena, AWS Lambda, AWS Glue, AWS S3, etc. Vous possédez de l’expérience en bases de données SQL, modélisation de data et conception de schémas, Vous maîtrisez des langages de programmation tels que Python ou Java, Vous êtes familier avec les pratiques et les outils DevOps pour l'automatisation, CI/CD, et l'infrastructure en tant que code (Terraform), Vous avez des connaissances de base des technologies d'apprentissage automatique (en particulier AWS SageMaker),
Également, vous possédez d’excellentes compétences en matière de résolution de problèmes et souci du détail, de communication et de collaboration dans un environnement agile, en distanciel et multiculturel et savez faire preuve d'initiative, ainsi que de bonnes capacités d'analyse et de synthèse.
Et idéalement :


Les certifications AWS (par exemple, AWS Certified Solutions Architect, AWS Certified Big Data - Specialty) sont un plus.
Contrat et avantages :


CDI, Rémunération selon profil
Informations complémentaires


Rejoignez-nous !
Dans le cadre de sa politique de diversité, Energy Pool étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.


Un test de personnalité (Assessfirst) ainsi qu'une vérification des références indiquées dans votre CV (Everycheck) sont réalisés dans le cadre de notre processus de recrutement.


CDI-Data Engineer H/F
Casablanca, Maroc * Temps complet";;;;;;2025-03-24;Bayt;Ingénieur Données;Informatique;3
https://www.bayt.com/en/morocco/jobs/senior-data-science-manager-72561105/;Senior Data Science Manager;SwatX Solutions;"Job Description
SWATX is looking for a visionary and results-driven Senior Data Science Manager to join our leadership team. In this pivotal role, you will be responsible for overseeing the strategic direction and execution of data science initiatives across the organization. You will lead a talented team of data scientists, driving innovation in predictive modeling, machine learning, and advanced analytics. As a key contributor to our data strategy, you will collaborate closely with senior leadership and cross-functional teams to deliver impactful insights and solutions that enhance business performance.

Responsibilities:

• Develop and implement the overall data science vision, strategy, and framework to align with organizational goals.

• Lead a high-performing team of data scientists, fostering a culture of collaboration, innovation, and continuous learning.

• Drive the execution of strategic data science projects, ensuring alignment with business objectives and delivery of actionable insights.

• Collaborate with stakeholders to identify high-impact opportunities for modeling and analytics that can enhance decision-making and operational efficiency.

• Oversee the design and implementation of complex machine learning algorithms and statistical models to solve business challenges.

• Monitor industry trends and emerging technologies in data science and analytics, incorporating best practices into the team’s methodologies.

• Provide mentorship and professional development opportunities for team members to enhance their skill sets and career growth.

• Present findings and recommendations to senior leadership, translating complex data insights into clear and actionable strategies.";;;;;;2025-03-21;Bayt;Data Science Manager;Informatique;4
https://www.bayt.com/en/morocco/jobs/data-engineer-pyspark-h-f-72390934/;Data Engineer PySpark (H/F);SQLI;"Description du poste
En tant qu’Ingénieur Data, vous rejoindrez notre équipe data afin de participer à des projets stratégiques d’analyse de données et de mise en place de solutions de traitement de données à grande échelle. Vous serez responsable de la conception, de l’optimisation et du développement de pipelines de données sur des plateformes cloud, avec un focus sur l’utilisation de PySpark et Azure Data Factory.

Vos principales missions seront :

Concevoir, développer et maintenir des pipelines de données à grande échelle utilisant PySpark.
Mettre en place des flux de données avec Azure Data Factory, en intégrant des sources et destinations de données variées (SQL, Data Lakes, APIs, etc.).
Assurer l'intégration de données provenant de systèmes variés dans un environnement cloud (Azure).
Optimiser les performances des traitements de données (SQL, PySpark, etc.).
Collaborer avec les équipes métier, data analysts et data scientists pour comprendre les besoins et proposer des solutions efficaces et scalables.
Participer à la définition de l’architecture des données et de la stratégie de gouvernance.
Mettre en place et assurer le monitoring des jobs de traitement de données (gestion des erreurs, gestion des performances).
Documenter les solutions mises en place et suivre les bonnes pratiques de développement.
Participer à l'amélioration continue des processus et outils existants.

Qualifications
Nous recherchons un candidat ayant une forte expertise technique en gestion et traitement de données à grande échelle avec les compétences suivantes :

Compétences techniques :

Maîtrise de PySpark pour le traitement de données massives en environnement distribué.
Expérience significative dans la mise en place et la gestion de Azure Data Factory pour la création et l’orchestration de pipelines de données.
Solide expérience en bases de données relationnelles et non relationnelles (SQL, NoSQL).
Connaissance des outils de gestion de données dans l’écosystème Azure (Azure Data Lake, Azure SQL Database, Azure Blob Storage, etc.).
Connaissances pratiques des services cloud Azure et de leur utilisation dans des solutions de traitement de données (Azure Databricks, Azure Synapse Analytics, etc.).
Expérience avec des outils de gestion de versions (Git, Azure DevOps, etc.) et des bonnes pratiques de développement logiciel.
Connaissance des concepts de Big Data et de l’optimisation des performances dans des environnements distribués.
Aptitudes personnelles :

Autonomie, rigueur et sens du détail.
Excellente capacité à résoudre des problèmes techniques complexes.
Bonnes compétences en communication et capacité à travailler en équipe.
Esprit d’analyse et capacité à comprendre les besoins métier pour proposer des solutions adaptées.
Formation et expérience :

Bac +5 en informatique, data science, ou dans un domaine équivalent.
Minimum de 3 ans d’expérience sur un poste similaire, avec une expérience confirmée en développement sur PySpark et Azure Data Factory.

Informations complémentaires
Pourquoi rejoindre notre équipe ?

Un environnement dynamique et innovant, au sein d’une équipe passionnée par les technologies de données.
La possibilité de travailler sur des projets d’envergure, à la pointe des technologies cloud et Big Data.
Des opportunités d’évolution et de formation continue pour développer vos compétences.
Un cadre de travail flexible et des avantages attractifs.";;;;;;;Bayt;Data Engineer;Informatique;3
https://www.bayt.com/en/morocco/jobs/emea-renewal-data-analyst-72576340/;Emea Renewal Data Analyst;Arrow Electronics, Inc;"Job Description
Position:Emea Renewal Data AnalystJob Description:
ABOUT US

Arrow’s enterprise computing solutions (ECS) business is a global technology enablement company that brings innovative IT solutions to market to solve complex business challenges. We deliver value-added distribution, business consulting and channel enablement services to the world’s leading technology manufacturers and their channel partners that serve commercial and government markets.

What You Will Be Doing at Arrow?

Working with EMEA countries to drive Renewal sales activities

Acting as a point of contact for renewal teams

Reporting on Renewal country performance (to countries and leaders)

Creating reports, analysing big-data bases, and presenting your findings

Creating county business reports and setting targets

What Are We Looking For?

2 years in similar role (IT industry is preferred)

VBA (Visual Basic for Applications) knowledge and experience

Basic understanding of SQL (especially use of Update Statements)

Knowledge of Microsoft Access

Experience with advanced Excel functions

Strong experience with Power BI

Who you are?

You speak English fluently

You have great communication and analytical skills and are comfortable presenting your findings

You are customer obsessed and have proactive attitude

You are independent, flexible, and a self-driven person

What is in it For You?

Permanent contract with a probation period

Interesting career development opportunities in a quickly growing environment

Working with people across the world

#LI-FH1

Location:MA-Casablanca, Morocco (Boulevard Al Quods)Time Type:Full timeJob Category:Business Support";;;;;;2025-03-25;Bayt;Data Analyst;Finance;2
https://www.bayt.com/en/morocco/jobs/consultant-data-analyst-72568805/;Consultant Data Analyst;GEC Groupe;"Job Description
GEC recherche un Consultant Data Analyst expriment pour renforcer les quipes Data d’un grand acteur du secteur financier.

Objectif : structurer, modliser et valoriser les donnes pour optimiser les prises de dcision.

Missions :

Collecte et nettoyage de donnes
Conception de dashboards et KPIs
Cration de DataMarts & visualisation dynamique
Stack : Python, SQL, Tableau, Power BI

Bonus : Dremio

Profil avec au moins 3 ans d’exprience dans un environnement data structur, idalement dans la banque ou l’assurance.

Casablanca – Mode hybride possible

Dmarrage rapide";;;;;;2025-03-23;Bayt;Data Analyst;Finance;3
https://www.bayt.com/en/morocco/jobs/senior-data-consultant-ref-005979-72557583/;Senior Data Consultant Ref. 005979;Novancy Consulting;"Job Description
Profile: 
Extensive expertise in modern data architectures, both in technology and implementation.

Core Concepts: 
Data Lake, Lakehouse, real-time streaming, AI model deployment.

Technologies: 
Apache Big Data (Airflow, Nifi, Kafka, Iceberg, Atlas…), Grafana, Superset. 

--

Entre engagement en tant que cabinet de staffing et de recrutement :

Novancy One, cabinet expert leader en recrutement et en staffing de talents dans les domaines des systèmes d'information et de la transformation digitale, s'engage fermement à promouvoir l'égalité et la diversité dans son processus de recrutement. Nous encourageons vivement les candidatures de profils variés, garantissant des opportunités équitables pour tous, quels que soient la race, la couleur, la religion, le genre, l'orientation sexuelle, l'origine nationale, le handicap, l'âge ou le statut d'ancien combattant. Si vous pensez que votre candidature n'a pas été prise en compte, faites-le nous savoir à l'adresse https://novancy.com/contactus. Découvrez nos offres d'emploi actuelles sur https://novancy.com/jobs/ ou soumettez votre CV pour des opportunités futures sur https://novancy.com/cv.
Our commitment as staffing agency:

Novancy One, a leading expert in staffing and recruitment for information systems and digital transformation, is deeply committed to promoting equality and diversity throughout our hiring process. We actively encourage applications from candidates of all backgrounds, ensuring fair and equal opportunities for everyone, irrespective of race, color, religion, gender, sexual orientation, national origin, disability, age, or veteran status. If you feel your application has been overlooked, we want to hear from you—reach out to us at https://novancy.com/contactus. Discover our latest job opportunities at https://novancy.com/jobs/ or submit your resume for future openings at https://novancy.com/cv.";;;;;;2025-03-21;Bayt;Consultant en Données;Informatique;4
https://www.bayt.com/en/morocco/jobs/data-analyst-f-h-72339269/;Data Analyst (F/H);SQLI;"Job Description
Key Responsibilities:

As a Data Analyst you will: 

- Receive and develop briefs from your Client Lead and work collaboratively to ensure work of the highest quality 

- Maintain analytics data views for accurate reporting and insights capability 

- Maintain and update stored procedures 

- Combine internal data with other data sources to provide a holistic view 

- Participate in all daily ceremonies and events, raising issues as soon as identified to facilitate delivery 

- Inspect and adapt your way of working for continuous improvement 

- Embody an Agile mindset and culture

- Provide accurate, insightful and timely analysis to the business to help decision making. 

- Ability to simplify the complex and generate precise insights then communicate them clearly. 

- Continually look to improve processes through efficiencies and by applying best practice 

- Challenge the stakeholders and the business backlogs to focus work around the areas that really matter 

- Actively add to the Squads backlog with work that would benefit customers 

- Steer the agenda and be a trusted partner for work 

- Ability to contribute to an analytics roadmap for continuous insight delivery improvement


Qualifications
Here are the key skills & experience requested:

* Strong interpersonal skills so that you can work closely with the Team

* Skilled at adapting communication for both technical and non-technical audiences 

* Able to learn data sources and methodologies quickly and apply technical skills to curate accurate analytics data views 

* Familiarity with GitHub and quality assurance checking of SQL scripts 

* Experience in obtaining insight from large data sets and sharing actionable learnings with the wider business 

* 2 years+ experience in coding complex SQL queries against a large relational customer database, identifying relevant data sources and summarising to provide the insight as identified 

* Experience in updating SQL stored procedures 

* Ability to resolve data-related problems 

* Proficiency in Python and / or R a bonus 

* Proficiency with data visualization software (e.g. Power BI) a bonus 

* Good experience of using Excel and MS Office 

* Skilled at creating engaging, actionable, easy to understand insight 

* Track record of creating compelling data visualisations 

* Passion for customer and generally curious 

* Telecoms-industry experience desirable 

* Highly numerate with a Degree in Mathematics/Statistics or similar degree with high numerate content 

* Ability to collaborate and work effectively in a team but also comfortable with owning product backlog items and self-organising to deliver them 

* Highly organised and able to juggle multiple priorities concurrently 

* Excellent problem solving skills with a logical approach

* Fluent in English


Additional Information
Pourquoi rejoindre SQLI ?

Ambiance dynamique et innovante : Travailler dans un environnement agile et en constante évolution.
Opportunités de développement professionnel : Accès à des formations continues et des projets à la pointe des nouvelles technologies.
Engagement humain : Une entreprise qui valorise le bien-être de ses collaborateurs et favorise la diversité et l’inclusion.";;;;;;;Bayt;Analyste des Données;Informatique;2
